ID,show_title,confirmation_date,character_name,race,gender,orientation,role,representation
tt8050756,The Owl House,1/10/2020,Luz Noceda,POC,Mujer Cis,Bisexual,Personaje Principal,Explícito
tt8050756,The Owl House,1/24/2020,Amity Blight,N/A,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt8050756,The Owl House,7/24/2021,Raine Whispers,N/A,No Binario,Queer,Personaje Recurrente,Explícito
tt0101178,The Ren & Stimpy Show,8/11/1991,Ren,N/A,Hombre Cis,Queer,Personaje Principal,Explícito
tt0101178,The Ren & Stimpy Show,8/11/1991,Stimpy,N/A,Hombre Cis,Queer,Personaje Principal,Explícito
tt0096697,The Simpsons,1/16/2011,Dewey Largo,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0096697,The Simpsons,4/3/2016,Waylon Smithers,N/A,Hombre Cis,Gay,Personaje Principal,Explícito
tt0096697,The Simpsons,4/13/2003,Julio,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0096697,The Simpsons,2/20/2005,Patty Bouvier,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt0096697,The Simpsons,11/21/2001,Brunella Pommelhorst,N/A,Hombre Trans,Indeterminado,Personaje Recurrente,Explícito
tt0417373,The Venture Bros.,6/25/2008,Shore Leave,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0417373,The Venture Bros.,9/3/2006,The Alchemist,Blanco,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0417373,The Venture Bros.,9/11/2004,Colonel Horace Gentleman,Blanco,Hombre Cis,Gay,Personaje Principal,Explícito
tt0417373,The Venture Bros.,7/6/2008,Ginnie Dunne,Blanco,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
tt0291672,Time Squad,6/8/2001,Larry 3000,N/A,Hombre Cis,Gay,Personaje Principal,Implícito
tt7121818,Too Loud,7/9/2017,Desiree,Blanco,Mujer Trans,Indeterminado,Personaje Secundario,Explícito
tt8891990,Transformers: Cyberverse,11/2/2018,Acid Storm,N/A,Género Fluido,Indeterminado,Personaje Recurrente,Implícito
tt1659175,Transformers: Prime,3/11/2011,Knock Out,N/A,Hombre Cis,Gay,Personaje Secundario,Implícito
tt8036272,Tuca & Bertie,7/4/2021,Kara,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt8036272,Tuca & Bertie,5/3/2019,Tuca,N/A,Mujer Cis,Bisexual,Personaje Principal,Explícito
tt8009622,Twelve Forever,7/29/2019,Beefhouse,N/A,Hombre Cis,Indeterminado,Personaje Recurrente,Explícito
tt8009622,Twelve Forever,7/29/2019,Galaxander,N/A,Hombre Cis,Indeterminado,Personaje Invitado,Explícito
